Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Lithuania;LTU;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5920;6320;6940;7590;7630;8300;9310;10370;11770;12730;14270;16150;18350;20070;18530;19970;22220;23930;26130;27850;27790;29820;32540;35250;38560;38970;42130;46790
Luxembourg;LUX;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29870;33350;34090;35200;35470;37350;38640;41050;41490;45980;48770;50000;49410;48740;58380;62650;63160;72370;71210;55410;61410;65490;74230;72410;76490;69410;75120;82300;83270;80490;82880;91810;97750
Latvia;LVA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5560;5850;6540;7110;7340;8030;9070;10100;11010;12030;13770;15460;17700;19320;18210;17880;19230;21140;22590;23850;24860;26680;28600;30390;32450;33010;34480;39260
China Macao SAR;MAC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26860;27850;31480;32910;34190;34920;34090;33860;31870;30410;31640;35530;38230;41710;50970;54610;59490;74890;68790;69550;84830;99750;109170;124040;125460;101680;101320;109460;116020;113300;69020;70930;
St. Martin (French part);MAF;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morocco;MAR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2680;2920;2880;2870;3210;3040;3450;3400;3650;3720;3840;4180;4360;4670;4970;5240;5740;6030;6420;6540;6760;7160;7150;7390;7010;7550;7590;7800;8140;8440;7890;8770;9390
Monaco;MCO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moldova;MDA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3110;3220;3010;2980;3170;3520;3940;4350;4880;5420;5790;6030;6660;6100;6790;7310;7960;9070;9490;9850;11100;12130;13030;14020;12940;15300;15310
Madagascar;MDG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1130;1060;1070;1090;1070;1080;1100;1120;1150;1180;1230;1300;1120;1220;1290;1340;1410;1510;1590;1490;1470;1480;1440;1440;1470;1450;1510;1500;1540;1600;1470;1600;1720
Maldives;MDV;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5780;6220;6690;7160;7580;7970;7850;8430;9530;10270;9060;11520;10750;11930;10940;11310;12300;12710;13630;15090;16100;16760;17470;18380;19310;13010;18840;22530
Middle East & North Africa;MEA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7823.140333;8589.076511;8926.38898;9107.291697;9172.909875;9402.279039;9771.287384;10041.04175;10516.69757;10617.90102;11298.78662;11554.15474;11624.16139;12167.43815;13253.99871;13939.32904;14933.98293;15845.13626;16427.18875;16178.20647;16715.79857;17358.57811;17942.78102;17815.3586;17534.04019;15893.8838;15708.69567;16425.53639;16775.13498;16916.33607;16371.85847;17585.78995;19541.83512
Mexico;MEX;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7990;8490;8860;8550;8980;8320;8920;9610;10050;10340;10970;11030;11080;11360;11980;12460;13690;14170;14870;14490;15280;16480;17050;17090;17850;18080;19090;19510;19900;19630;17920;19060;21060
Marshall Islands;MHL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3430;2960;2810;2870;2900;3000;3240;3330;3350;3480;3740;3780;4050;3880;3980;4130;4180;4080;4500;4750;5460;5520;5800;6330;7280;7330;7440;8640
Middle income;MIC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2582.098853;2690.569489;2767.419948;2873.555923;2976.591143;3117.229042;3295.690199;3463.215211;3479.853705;3615.986774;3858.733514;4054.64629;4262.315999;4553.692077;4971.630499;5421.952119;6058.570349;6697.318651;7211.66071;7412.845027;7969.152465;8550.545721;9070.397258;9460.197508;9776.851368;9842.125809;10152.14854;10673.85051;11333.30332;11851.27072;11682.41423;12881.34988;14260.62342
North Macedonia;MKD;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5340;5230;4920;4750;4840;4910;5020;5150;5370;5620;6040;6010;6320;6520;7130;7710;8650;8920;10390;10930;11200;11480;11660;12430;13180;13450;14540;15080;16090;17180;16670;17530;19290
Mali;MLI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;760;860;830;860;890;890;950;990;1050;1100;1090;1200;1200;1330;1350;1430;1490;1530;1590;1600;1660;1700;1640;1700;1800;1910;2050;2080;2170;2220;2150;2230;2420
Malta;MLT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9550;10080;10530;11040;11580;13420;13960;14720;15100;16140;17670;18630;19750;20850;21460;21630;22370;23820;26110;25250;27240;28290;28820;30690;32560;35390;35820;39160;42280;45180;40600;46310;51590
Myanmar;MMR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;380;370;420;470;520;560;600;650;680;750;830;900;980;1130;1310;1440;1730;2040;2320;2580;2890;3200;3500;3740;3940;4030;3990;4200;4530;4870;5080;4330;4760
Middle East & North Africa (excluding high income);MNA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4589.367468;4946.561315;5183.668208;5284.344389;5346.581265;5481.562005;5814.230166;6023.439438;6391.784233;6651.714831;7119.062266;7383.933443;7589.969387;7752.904087;8421.566171;8793.476179;9437.742984;10181.64333;10587.3464;10660.48723;11062.78041;11034.11048;11266.87072;11092.07588;10748.37124;10109.29249;10206.53858;10629.37424;10863.11782;10953.6446;10677.26122;11474.69722;12588.87574
Montenegro;MNE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6310;7110;7500;7770;8250;8410;10630;12610;14020;13050;13540;14590;14100;15160;15580;16690;18360;20090;21770;24060;20840;23920;27530
Mongolia;MNG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3320;3130;2800;2700;2810;3030;3140;3280;3440;3560;3630;3800;4000;4300;4860;5250;5870;6510;7090;6880;7020;8260;9550;10080;10290;9870;9940;9830;11190;11550;11150;11000;12470
Northern Mariana Islands;MNP;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mozambique;MOZ;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290;270;300;310;310;350;390;420;460;460;510;510;600;650;680;730;790;850;910;950;1020;1050;1090;1140;1280;1340;1250;1300;1320;1280;1320;1410
Mauritania;MRT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2590;2650;2650;2740;2620;2860;3180;3020;3070;3150;2990;2880;3050;3250;3420;3720;4250;4210;4210;4190;4130;4210;4220;4440;4230;4180;4740;5180;5470;5670;5540;5770;6330
Mauritius;MUS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4970;5360;5770;6120;6370;6740;7130;7620;8070;8310;9110;9610;9850;10480;11190;11680;12640;13930;14760;15030;16100;16920;17250;18300;18970;19870;21190;22380;23900;25250;21760;23410;27480
Malawi;MWI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;670;730;680;750;690;830;890;920;610;810;900;810;830;900;950;1010;1080;1210;1290;1340;1360;1430;1400;1510;1490;1390;1470;1420;1480;1550;1540;1610;1700
Malaysia;MYS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6710;7330;7920;8710;9440;10320;11250;11870;10830;11180;11980;12110;12740;13580;14580;15600;16860;18160;18830;18480;19510;20800;21700;22190;23220;23510;24180;25200;26630;28090;26730;28280;32250
North America;NAC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23232.76486;23647.92438;24572.12481;25392.80166;26713.57134;27876.85128;29213.99556;30810.25369;32362.72183;33961.95571;35998.3305;36895.071;37618.39221;38956.885;41198.62093;43675.75235;46199.01768;47390.04004;47554.97897;46158.01944;48088.3507;49881.57283;51977.21941;53311.65973;55505.95336;56762.35962;57573.78522;59807.66158;62545.03268;64540.43777;62932.07257;69231.70115;75469.63947
Namibia;NAM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3940;4340;4490;4370;4400;4640;4630;4770;4890;4870;5150;5180;5510;5970;6570;6670;7330;7660;7920;7860;8130;8690;9080;9840;10550;10770;10370;10150;10120;10180;9510;9930;10890
New Caledonia;NCL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Niger;NER;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;740;740;740;740;740;750;750;750;820;810;790;840;870;870;880;940;990;1000;1060;1050;1110;1120;1190;1160;1190;1190;1180;1200;1280;1320;1230;1330;1510
Nigeria;NGA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1940;1970;2030;1930;1920;1950;2030;2080;2080;2130;2070;2270;2570;2710;2960;3150;3570;3710;3920;4120;4380;4570;4660;4880;5240;5200;5050;4960;4970;5120;4950;5220;5650
Nicaragua;NIC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1940;1760;1720;1740;1780;1960;2110;2230;2350;2520;2640;2730;2770;2870;3080;3300;3470;3710;3860;3690;3850;4120;4220;4350;4700;5030;5350;5610;5480;5420;5160;5880;6380
Netherlands;NLD;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18650;19670;20230;20980;22070;23310;24510;25920;27210;29130;31690;32330;33470;33700;35280;36980;40720;43450;44180;42870;44640;46440;46750;48890;48740;49780;51020;54460;57610;58980;57870;61950;66750
Norway;NOR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17940;18960;20190;21100;22640;24070;26520;28310;27880;30310;36480;37850;38160;38900;42750;48490;54410;56010;61800;55940;58850;63060;66330;68090;68420;63250;61860;66940;73090;72050;67820;83750;118440
Nepal;NPL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;830;890;920;950;1030;1060;1110;1160;1190;1240;1320;1390;1390;1450;1540;1630;1730;1830;1970;2060;2170;2280;2490;2670;2930;2970;2960;3530;3830;4130;4020;4280;4750
Nauru;NRU;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4410;6760;6840;6940;7980;10190;11050;12390;12920;13740;13080;13590;15520;17160;19480;19780
New Zealand;NZL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14220;13550;13940;14780;15940;16750;17060;17980;18430;19350;20280;21390;22130;22850;23690;24020;25870;27240;27660;29420;29670;31220;31620;34810;35790;36240;38650;40620;40970;44720;44640;47140;50380
OECD members;OED;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16522.18704;17150.28188;17771.64981;18258.20681;19082.86993;19817.08361;20746.43355;21747.83449;22373.36008;23234.76958;24735.87994;25503.89148;26231.78302;26990.12844;28466.26613;29853.78814;31924.74709;33277.59446;33974.63891;33128.29411;34590.95117;36113.54475;37221.55391;38470.78337;39682.81512;40722.76022;41978.71834;43655.76461;45357.04252;46936.08178;45538.25502;49289.64413;54162.10296
Oman;OMN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25690;27070;28250;29410;30260;31960;32880;34830;35560;35460;38090;40130;39690;39750;41060;41950;45370;47780;50580;52350;50330;47580;47720;45810;42510;35400;32870;32880;33120;32890;32540;35270;38890
Other small states;OSS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10384.08696;10982.21178;11441.77781;12042.92278;12945.52335;13720.85741;16062.92803;17817.59675;19147.73173;18798.84212;20184.9839;22215.42765;23635.82855;24084.08725;23854.41603;20595.73525;20037.02261;21464.64638;21861.50579;22527.79657;21472.21741;22731.61148;25127.46815
Pakistan;PAK;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1980;2080;2240;2270;2330;2430;2510;2500;2510;2580;2660;2730;2760;2930;3170;3410;3650;3830;3890;3930;3970;4100;4140;4240;4410;4580;4650;4820;5160;5280;5190;5700;6350
Panama;PAN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5070;5490;6020;6480;6730;6680;7100;7450;7860;8020;8360;8420;8800;8830;9470;10240;11250;12870;14130;14240;14590;16690;18170;20310;21800;24700;26930;29770;30810;32060;27140;31160;37080
Peru;PER;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3150;3380;3350;3530;3950;4230;4400;4700;4700;4750;4890;4990;5260;5470;5720;6140;6620;7350;8190;8330;8950;9630;10010;10620;10890;11090;11440;11870;12360;12800;11500;12750;14080
Philippines;PHL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2620;2670;2710;2780;2930;3060;3240;3440;3660;3730;3760;3890;4010;4200;4510;4800;5090;5460;5710;5840;6210;6450;6930;7330;7700;7940;8460;8880;9480;10010;8830;9250;10730
Palau;PLW;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10750;11730;12330;11820;12490;13570;14230;15310;14990;13790;14260;15760;16630;16510;17700;19260;19570;18720;19360;19530;17160;15560;
Papua New Guinea;PNG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1680;1840;1990;2330;2450;2360;2440;2340;2190;2170;2120;2070;2030;2000;2070;2230;2230;2450;2460;2520;2720;2660;2890;2880;3470;3640;3810;3890;3860;3940;3910;3880;4270
Poland;POL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5870;5720;5920;6310;6880;7580;8220;8870;9420;9980;10630;11090;11770;12170;12930;13620;14760;16230;17920;18640;20200;21850;22690;23440;24350;25820;27070;28690;30680;33510;33970;36340;41310
Pre-demographic dividend;PRE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1369.843615;1406.635034;1411.087211;1435.188669;1433.76949;1498.226845;1553.337217;1662.740813;1762.738817;1841.240254;1919.462403;2005.140252;2056.976846;1968.532632;2235.09797;2328.830697;2557.983575;2695.217147;2863.413347;2913.15591;3024.636599;3134.041426;3223.69801;3341.387936;3482.601941;3317.21393;3334.035424;3395.019308;3453.519759;3541.564189;3391.401399;3549.801267;3872.022501
Puerto Rico;PRI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9470;9950;10240;10820;11250;11820;12220;12950;13290;14410;15400;15830;16030;16480;18710;19190;19860;20720;20610;20150;20210;20840;21840;22320;22620;22900;23040;22940;23470;24410;23370;24800;27830
 Dem. People's Rep. Korea;PRK;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;PRT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11770;12760;13270;13300;13620;14520;15010;15770;16640;17660;18570;19190;20050;20640;21210;22420;23980;25000;25770;25580;26390;26340;25810;27560;28150;28870;30840;32270;34080;36330;34410;36150;40870
Paraguay;PRY;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6240;6660;6660;6610;6460;6040;6140;6320;6160;6630;6940;7680;8620;9340;9240;10270;10900;10390;11490;11930;11960;12550;13140;13690;13750;13590;14580;15540
West Bank and Gaza;PSE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2470;2600;2540;2860;3330;3570;3090;2710;2310;2610;3160;3590;3610;3800;4040;4200;4360;4780;5610;5810;6090;6680;7080;7250;7580;7660;6620;7470;8170
Pacific island small states;PSS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2712.006491;2752.591665;2937.300684;3036.415913;3194.221765;3401.623793;3534.015784;3485.69765;3514.384742;3712.768266;3806.15113;3818.106766;3940.538253;3999.879936;4230.645144;4434.298655;4452.56947;4571.273745;4683.651214;4680.774251;4786.683686;4983.905339;5180.57172;5570.03569;6124.548683;6521.22052;6650.764876;6863.892709;7240.621642;7334.17002;6551.808155;6498.911897;7540.983553
Post-demographic dividend;PST;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17919.80284;18588.03796;19211.52867;19715.91281;20612.14856;21450.80301;22409.46245;23475.33339;24337.32985;25389.01536;27072.18392;28054.93058;28941.78773;29878.44423;31555.90302;33140.87245;35402.1891;36920.6487;37634.74446;36661.26076;38248.6607;39811.33655;41034.4231;42455.77916;43697.25776;44753.08889;46105.10229;48053.4086;50067.71822;52009.66076;50489.1435;54715.39946;59905.66206
French Polynesia;PYF;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Qatar;QAT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81720;86080;88610;91970;102500;97690;115310;115220;117170;113680;128270;144820;152630;150400;136870;96610;84380;91940;91750;92330;92020;100890;110640
Romania;ROU;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5260;4800;4500;4670;4970;5390;5700;5510;5480;5530;5810;6480;7090;7380;8610;9320;11170;13260;16410;16420;17150;18570;19480;19390;20540;21400;23580;26560;29030;32600;32830;35550;40600
Russian Federation;RUS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8010;7840;6800;6350;5710;5570;5440;5580;5230;5680;6650;7260;7880;8970;10010;11540;14480;16280;19600;18760;19860;22130;23560;25170;24910;23420;23460;25230;28120;29120;29310;33250;35770
Rwanda;RWA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;550;540;570;520;310;510;490;500;530;560;610;670;750;770;820;910;1000;1080;1180;1230;1300;1400;1430;1480;1630;1730;1790;1870;2020;2210;2130;2420;2730
South Asia;SAS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1261.00446;1299.400895;1375.752275;1437.962501;1523.505976;1629.003146;1736.883834;1796.140252;1877.501691;2011.618423;2095.096365;2197.834256;2272.594663;2440.713568;2651.70456;2892.122022;3159.28344;3435.738767;3558.942617;3772.576086;4031.492853;4269.503224;4586.558234;4768.236846;4946.770511;5160.656673;5437.194276;5780.33082;6223.533286;6517.072435;6211.395746;6928.092369;7817.72699
Saudi Arabia;SAU;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33720;37840;38460;37920;37320;37490;37560;37590;38440;36710;38340;37970;36490;40310;43860;46390;47340;47850;49970;47560;48640;53810;55510;54850;55530;49420;46680;48260;49310;49480;48170;52310;59660
Sudan;SDN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1400;1430;1570;1690;1750;1860;2010;2380;2450;2480;2590;2780;2900;3070;3220;3420;3620;3830;3900;3760;3680;4000;3710;3700;4460;4420;4720;4430;4200;4090;3870;3920;4150
Senegal;SEN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1510;1560;1580;1580;1570;1660;1700;1740;1830;1920;1990;2080;2050;2170;2270;2390;2460;2530;2610;2610;2660;2660;2730;2730;2820;2940;3040;3170;3360;3480;3490;3770;4100
Singapore;SGP;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23570;25140;27040;29420;33100;35340;36600;40050;38110;40400;43510;42820;44180;47480;51090;55490;62320;66980;65230;62780;74580;77300;78420;78530;81490;81040;84030;88700;88300;90900;86640;99420;107030
Solomon Islands;SLB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1270;1340;1500;1580;1700;1840;1860;1810;1810;1750;1530;1410;1340;1440;1570;1700;1740;1760;1820;1850;2050;2140;2230;2450;2430;2420;2480;2570;2660;2700;2670;2680;2670
Sierra Leone;SLE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680;740;600;660;610;620;650;620;620;620;660;610;740;800;840;880;810;1080;1170;1190;1140;1230;1260;1710;1720;1560;1630;1570;1630;1700;1640;1760;1900
El Salvador;SLV;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2800;2880;3130;3350;3560;3770;3830;3980;4100;4180;4310;4430;4530;4650;4800;5090;5510;5760;6000;5830;6020;6340;6350;6650;7000;7350;7750;8140;8510;8940;8320;9600;10460
San Marino;SMR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53910;54920;57330;53740;61060;
Somalia;SOM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;820;930;1080;1120;1050;1120;1180;1180;1250;1360
Serbia;SRB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5720;6000;5530;6020;6490;7200;7600;8420;8970;9910;10890;12290;12350;12530;13220;13470;14060;14100;14230;14980;15540;16810;18360;18960;20810;22720
Sub-Saharan Africa (excluding high income);SSA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1677.020765;1710.884289;1670.811108;1670.668301;1687.267094;1763.533374;1820.898112;1890.594725;1897.694158;1927.984687;1959.702064;2046.739946;2152.787519;2227.034977;2369.360706;2528.595032;2739.594168;2883.483001;2997.695646;3032.446603;3144.065327;3264.46135;3278.398228;3404.17963;3606.154741;3615.09464;3657.725071;3678.324918;3761.542564;3844.265673;3732.055254;3954.997593;4289.899161
South Sudan;SSD;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1570;1380;1850;1210;1040;;;;;;;
Sub-Saharan Africa;SSF;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1677.955524;1711.866261;1671.898602;1671.849128;1688.423551;1764.640949;1822.135322;1892.004782;1899.100869;1929.391219;1961.153188;2048.179197;2154.100878;2228.301402;2370.681166;2530.052661;2741.199083;2885.090709;2999.195897;3033.896714;3145.573903;3266.104955;3280.068531;3405.829103;3607.94724;3616.839803;3659.569997;3680.236349;3763.559513;3846.406131;3733.994401;3957.066859;4292.310674
Small states;SST;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9640.493719;10142.93889;10585.35493;11183.688;12024.20302;12736.5029;14692.98614;16170.9307;17266.74633;16919.62002;18038.90276;19566.81423;20760.25841;21221.86725;21149.84439;18759.02131;18294.99725;19541.26539;19915.72014;20513.45911;19452.34314;20705.80169;23187.46082
Sao Tome and Principe;STP;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1740;1790;1960;2020;2180;2490;2610;2680;2690;2860;2980;2880;3320;3850;3790;3870;3920;4080;4170;4330;4520;4770
Suriname;SUR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6470;6820;6950;6530;6870;6900;6920;7180;7300;7080;7200;7080;7800;8330;9120;9890;10640;11590;12240;12490;12820;13200;14720;15900;16540;16680;13900;15810;17050;17260;13600;14150;16080
