Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Bhutan;BTN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1380;1360;1470;1630;1800;1840;1970;2140;2090;2160;2710;2920;3160;3370;3570;3910;4300;5100;5310;5570;6130;6640;7080;7240;7860;8640;9390;10030;10470;11180;10450;11300;
Botswana;BWA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5650;6380;6610;6990;6330;7080;7090;7830;8230;8300;8360;8730;8210;8950;9150;9950;11270;12290;12470;11020;11660;12890;12300;12810;14070;13020;13970;13400;13790;14930;14070;15610;17590
Central African Republic;CAF;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;620;620;580;570;590;630;600;630;650;670;640;680;690;660;700;710;750;790;800;870;910;950;1030;690;680;740;800;880;940;960;950;990;1020
Canada;CAN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19500;19550;19890;20710;21820;22680;23250;24480;25430;26900;28590;29380;30180;31550;33190;35580;37510;38990;39780;38200;39310;40880;41540;43620;45010;43990;45900;47700;49140;49240;46860;52720;57820
Central Europe and the Baltics;CEB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6546.918222;6857.484538;7319.59081;7903.227537;8308.223739;8579.855648;8965.840783;9245.774499;9865.879662;10642.09139;11448.15559;12050.38344;13003.38825;13897.44184;15344.22469;16977.53497;19009.31021;19115.82175;20124.28774;21475.15149;22315.30181;23125.76789;24150.10596;25229.68907;26807.71274;28823.47101;30912.04879;33801.15687;33857.29179;36438.29133;41302.5101
Switzerland;CHE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31520;32280;34090;35400;36590;39020;39210;39640;41170;42560;44860;49560;51130;50260;53740;57270;57830;60440;62660;63350;65920;66960;67250;68130;70150;69200;74270;78040
Channel Islands;CHI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4200;4620;5300;5820;6180;6970;7710;8320;8730;8670;9140;9550;9850;10270;10870;11680;14000;15220;15250;15010;16930;18560;20400;21430;21770;22130;22840;23590;24520;24640;23390;26680;28550
China;CHN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;980;1100;1260;1450;1660;1830;2030;2240;2410;2620;2880;3160;3500;3910;4420;5020;5830;6830;7630;8290;9220;10200;11140;11780;12500;12840;13420;14220;15430;16610;17070;19310;21250
Cote d'Ivoire;CIV;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2480;2500;2480;2440;2480;2620;1830;1940;1990;2010;1880;1840;1810;1750;1860;2060;2110;2150;2280;2340;2460;2250;2490;2650;4180;4480;4590;4690;4920;5200;5220;5680;6330
